billno,billstatus,creator.number,creator.name,modifier.number,modifier.name,auditor.number,auditor.name,auditdate,modifytime,createtime,lb77_recipient.number,lb77_recipient.name,lb77_courier_name,lb77_package_desc,lb77_status,lb77_pickup_station.number,lb77_pickup_station.name,lb77_pickup_code,lb77_datetimefield
*快递单号,*单据状态,创建人.工号,创建人.姓名,修改人.工号,修改人.姓名,审核人.工号,审核人.姓名,审核日期,修改时间,创建时间,收件人.学号,收件人.姓名,快递公司,物品描述,快递状态,所属驿站.驿站编码,所属驿站.驿站名称,取件码,到达时间
SF100000001,,,,,,,,,,2024001,张三,顺丰快递,电子产品,待取件,YZ001,一号门快递服务中心,1-1-1111,2024-07-26 09:30:00
JD100000002,,,,,,,,,,2024001,张三,京东快递,书籍,待取件,YZ002,三食堂旁快递驿站,2-2-2222,2024-07-26 10:00:00
ZT100000003,,,,,,,,,,2024001,张三,中通快递,衣物,待取件,YZ001,一号门快递服务中心,1-1-3333,2024-07-25 15:20:00
YT100000004,,,,,,,,,,2024001,张三,圆通快递,零食,待取件,YZ004,博士生公寓快递柜,4-1-4444,2024-07-26 11:00:00
YD100000005,,,,,,,,,,2024001,张三,韵达快递,化妆品,运输中,YZ001,一号门快递服务中心,,
SF100000006,,,,,,,,,,2024001,张三,顺丰快递,运动器材,运输中,YZ002,三食堂旁快递驿站,,
ZT100000007,,,,,,,,,,2024001,张三,中通快递,文件,运输中,YZ003,图书馆南侧取件点,,
YT100000008,,,,,,,,,,2024001,张三,圆通快递,生活用品,运输中,YZ001,一号门快递服务中心,,
JD100000009,,,,,,,,,,2024001,张三,京东快递,电脑配件,已签收,YZ005,西区综合服务楼驿站,,2024-07-24 14:00:00
YD100000010,,,,,,,,,,2024001,张三,韵达快递,特产,已签收,YZ002,三食堂旁快递驿站,,2024-07-23 18:00:00 
